Script started on 2021-04-03 19:10:35-03:00 [TERM="xterm-256color" TTY="/dev/pts/1" COLUMNS="205" LINES="20"]
CPU(%)	MEM(MB)
5,66 	 11,87
5,66 	 11,87
0,00 	 11,87
0,00 	 11,87
0,00 	 11,87
0,00 	 11,87
0,00 	 11,87
0,00 	 11,87
0,00 	 11,87
0,00 	 11,87
0,00 	 11,87
0,00 	 11,87
0,00 	 11,87
0,00 	 11,87
0,00 	 11,87
0,00 	 11,87
0,00 	 11,87
0,00 	 11,87
0,56 	 11,87
0,56 	 11,87
163,73 	 102,1
163,73 	 102,1
199,53 	 100,4
199,53 	 100,4
199,25 	 134,8
199,25 	 134,8
202,26 	 134,4
202,26 	 134,4
199,50 	 26,75
199,50 	 26,75
199,78 	 134,8
199,78 	 134,8
199,99 	 66,78
199,99 	 66,78
198,66 	 72,61
198,66 	 72,61
199,29 	 80,28
199,29 	 80,28
199,74 	 14,08
199,74 	 14,08
199,30 	 86,33
199,30 	 86,33
200,22 	 26,81
200,22 	 26,81
199,30 	 120,2
199,30 	 120,2
200,99 	 92,88
200,99 	 92,88
200,90 	 27,76
200,90 	 27,76
199,74 	 129,3
199,74 	 129,3
199,30 	 74,88
199,30 	 74,88
200,19 	 39,88
200,19 	 39,88
200,10 	 82,62
200,10 	 82,62
199,79 	 135,6
199,79 	 135,6
200,19 	 93,04
200,19 	 93,04
199,03 	 33,52
199,03 	 33,52
199,74 	 13,89
199,74 	 13,89
200,75 	 136,8
200,75 	 136,8
199,99 	 108,8
199,99 	 108,8
199,74 	 91,33
199,74 	 91,33
199,55 	 24,46
199,55 	 24,46
199,24 	 140,3
199,24 	 140,3
200,29 	 104,4
200,29 	 104,4
201,37 	 64,75
201,37 	 64,75
199,47 	 101,1
199,47 	 101,1
200,03 	 26,76
200,03 	 26,76
199,00 	 130,4
199,00 	 130,4
199,66 	 119,9
199,66 	 119,9
200,79 	 104,9
200,79 	 104,9
200,04 	 83,02
200,04 	 83,02
198,99 	 71,39
198,99 	 71,39
198,25 	 58,02
198,25 	 58,02
199,54 	 48,77
199,54 	 48,77
199,99 	 40,27
199,99 	 40,27
199,80 	 26,52
199,80 	 26,52
198,97 	 26,75
198,97 	 26,75
199,05 	 140,4
199,05 	 140,4
199,21 	 140,5
199,21 	 140,5
200,57 	 76,68
200,57 	 76,68
200,04 	 24,84
200,04 	 24,84
199,99 	 35,23
199,99 	 35,23
200,43 	 74,06
200,43 	 74,06
200,92 	 116,7
200,92 	 116,7
198,99 	 66,64
198,99 	 66,64
200,21 	 22,91
200,21 	 22,91
199,50 	 69,94
199,50 	 69,94
200,04 	 110,7
200,04 	 110,7
198,97 	 125
198,97 	 125
200,29 	 132,6
200,29 	 132,6
198,99 	 98,19
198,99 	 98,19
200,04 	 77,44
200,04 	 77,44
200,44 	 75,69
200,44 	 75,69
200,29 	 92,82
200,29 	 92,82
199,84 	 95,07
199,84 	 95,07
198,80 	 100,8
198,80 	 100,8
199,96 	 96,06
199,96 	 96,06
198,79 	 68,56
198,79 	 68,56
200,56 	 66,19
200,56 	 66,19
199,49 	 82,31
199,49 	 82,31
199,46 	 52,84
199,46 	 52,84
199,18 	 34,05
199,18 	 34,05
199,65 	 15,04
199,65 	 15,04
200,05 	 46,79
200,05 	 46,79
199,50 	 134,3
199,50 	 134,3
199,80 	 128,2
199,80 	 128,2
200,53 	 136
200,53 	 136
199,01 	 43,29
199,01 	 43,29
200,02 	 114,2
200,02 	 114,2
200,32 	 107,5
200,32 	 107,5
200,00 	 47,52
200,00 	 47,52
196,66 	 87,39
196,66 	 87,39
199,60 	 29,82
199,60 	 29,82
201,48 	 113,2
201,48 	 113,2
199,27 	 57,16
199,27 	 57,16
198,94 	 22,89
198,94 	 22,89
199,25 	 138,4
199,25 	 138,4
200,07 	 123,8
200,07 	 123,8
199,49 	 125,3
199,49 	 125,3
200,23 	 89,32
200,23 	 89,32
199,00 	 88,77
199,00 	 88,77
200,49 	 26,75
200,49 	 26,75
199,00 	 123,4
199,00 	 123,4
199,30 	 101,9
199,30 	 101,9
200,36 	 82,4
200,36 	 82,4
200,05 	 38,65
200,05 	 38,65
199,74 	 118,1
199,74 	 118,1
200,04 	 108,6
200,04 	 108,6
200,83 	 134,5
200,83 	 134,5
200,04 	 130,4
200,04 	 130,4
198,99 	 124,2
198,99 	 124,2
200,00 	 126,9
200,00 	 126,9
200,05 	 128,6
200,05 	 128,6
