Script started on 2021-04-03 19:30:41-03:00 [TERM="xterm-256color" TTY="/dev/pts/1" COLUMNS="205" LINES="20"]
CPU(%)	MEM(MB)
7,31 	 12,05
7,31 	 12,05
0,00 	 12,05
0,00 	 12,05
0,00 	 12,05
0,00 	 12,05
0,00 	 12,05
0,00 	 12,05
0,00 	 12,05
0,00 	 12,05
0,00 	 12,05
0,00 	 12,05
0,00 	 12,05
0,00 	 12,05
0,00 	 12,05
0,00 	 12,05
4,29 	 12,05
4,29 	 12,05
0,00 	 12,05
0,00 	 12,05
180,31 	 124,6
180,31 	 124,6
200,24 	 140,6
200,24 	 140,6
200,55 	 138,8
200,55 	 138,8
199,00 	 140,7
199,00 	 140,7
201,55 	 82,77
201,55 	 82,77
199,49 	 100,6
199,49 	 100,6
200,01 	 140,6
200,01 	 140,6
199,00 	 16,88
199,00 	 16,88
199,00 	 51,67
199,00 	 51,67
199,80 	 68,25
199,80 	 68,25
199,25 	 70,95
199,25 	 70,95
199,75 	 84,52
199,75 	 84,52
200,29 	 91,34
200,29 	 91,34
199,30 	 84,17
199,30 	 84,17
198,75 	 16,91
198,75 	 16,91
200,77 	 85,89
200,77 	 85,89
198,75 	 44,22
198,75 	 44,22
200,50 	 20,95
200,50 	 20,95
201,04 	 135,3
201,04 	 135,3
199,23 	 96,39
199,23 	 96,39
200,80 	 135,8
200,80 	 135,8
199,75 	 118,9
199,75 	 118,9
200,05 	 91,07
200,05 	 91,07
199,50 	 60,64
199,50 	 60,64
197,85 	 114,8
197,85 	 114,8
200,04 	 73,74
200,04 	 73,74
198,44 	 76,71
198,44 	 76,71
199,56 	 115,6
199,56 	 115,6
199,47 	 60,46
199,47 	 60,46
200,79 	 80,87
200,79 	 80,87
199,23 	 26,91
199,23 	 26,91
200,23 	 58,87
200,23 	 58,87
200,18 	 76,81
200,18 	 76,81
200,30 	 97,84
200,30 	 97,84
199,74 	 40,17
199,74 	 40,17
200,30 	 130,6
200,30 	 130,6
198,56 	 68,07
198,56 	 68,07
198,98 	 38,85
198,98 	 38,85
200,80 	 106,7
200,80 	 106,7
199,46 	 39,37
199,46 	 39,37
199,15 	 101,5
199,15 	 101,5
199,19 	 31,29
199,19 	 31,29
201,41 	 130,8
201,41 	 130,8
200,46 	 75,39
200,46 	 75,39
201,81 	 72,69
201,81 	 72,69
200,25 	 114,1
200,25 	 114,1
199,60 	 27,34
199,60 	 27,34
199,75 	 125,5
199,75 	 125,5
200,80 	 48,82
200,80 	 48,82
197,28 	 134,2
197,28 	 134,2
199,55 	 57,24
199,55 	 57,24
200,00 	 140,6
200,00 	 140,6
199,41 	 83,65
199,41 	 83,65
199,24 	 38,85
199,24 	 38,85
198,17 	 84,57
198,17 	 84,57
200,23 	 29,39
200,23 	 29,39
199,80 	 99,17
199,80 	 99,17
197,42 	 140,6
197,42 	 140,6
200,09 	 60,72
200,09 	 60,72
201,30 	 128,2
201,30 	 128,2
199,00 	 53,82
199,00 	 53,82
199,56 	 109,5
199,56 	 109,5
199,25 	 48,42
199,25 	 48,42
198,78 	 110,5
198,78 	 110,5
197,95 	 34,95
197,95 	 34,95
199,30 	 90,21
199,30 	 90,21
200,47 	 74,79
200,47 	 74,79
199,80 	 94,21
199,80 	 94,21
199,25 	 38,9
199,25 	 38,9
199,50 	 131,4
199,50 	 131,4
199,80 	 94,09
199,80 	 94,09
200,00 	 88,67
200,00 	 88,67
201,26 	 95,87
201,26 	 95,87
200,75 	 91,69
200,75 	 91,69
200,05 	 97,77
200,05 	 97,77
199,58 	 96,87
199,58 	 96,87
201,86 	 140,6
201,86 	 140,6
199,25 	 37,34
199,25 	 37,34
201,55 	 67,14
201,55 	 67,14
200,54 	 140,6
200,54 	 140,6
200,24 	 85,19
200,24 	 85,19
201,04 	 95,77
201,04 	 95,77
200,00 	 46,09
200,00 	 46,09
199,25 	 45,73
199,25 	 45,73
201,30 	 56,17
201,30 	 56,17
200,09 	 31,39
200,09 	 31,39
200,79 	 16,98
200,79 	 16,98
200,79 	 133,3
200,79 	 133,3
200,00 	 116,7
200,00 	 116,7
199,80 	 70,66
199,80 	 70,66
200,50 	 56,96
200,50 	 56,96
200,55 	 39,29
200,55 	 39,29
199,25 	 16,91
199,25 	 16,91
200,55 	 138
200,55 	 138
200,75 	 65,34
200,75 	 65,34
201,30 	 135,4
201,30 	 135,4
201,23 	 74,68
201,23 	 74,68
200,30 	 38,07
200,30 	 38,07
200,29 	 73,25
200,29 	 73,25
199,80 	 48,13
199,80 	 48,13
199,74 	 71,7
199,74 	 71,7
199,73 	 95,32
199,73 	 95,32
201,72 	 107,1
201,72 	 107,1
199,80 	 134,5
199,80 	 134,5
200,25 	 72,8
200,25 	 72,8
201,81 	 38,56
201,81 	 38,56
200,06 	 30,86
200,06 	 30,86
200,50 	 41,23
200,50 	 41,23
200,29 	 64,61
200,29 	 64,61
199,99 	 84,98
199,99 	 84,98
201,80 	 119,9
201,80 	 119,9
200,50 	 80,77
200,50 	 80,77
200,24 	 103,7
200,24 	 103,7
200,74 	 41,54
200,74 	 41,54
199,49 	 73,97
199,49 	 73,97
201,04 	 100,7
201,04 	 100,7
199,74 	 131,3
199,74 	 131,3
199,74 	 60,8
199,74 	 60,8
203,24 	 127,6
203,24 	 127,6
171,34 	 11,51
171,34 	 11,51
0,00 	 11,51
0,00 	 11,51
0,00 	 11,51
0,00 	 11,51
0,00 	 11,51
0,00 	 11,51
0,00 	 11,51
0,00 	 11,51
0,00 	 11,51
0,00 	 11,51
0,00 	 11,51
0,00 	 11,51
0,00 	 11,51
0,00 	 11,51
0,00 	 11,51
0,00 	 11,51
0,00 	 11,51
0,00 	 11,51

Script done on 2021-04-03 19:33:01-03:00 [COMMAND_EXIT_CODE="0"]
