CPU(%)	MEM(MB)
3.50 	 1.328
100.27 	 1.617
100.67 	 1.617
99.65 	 1.617
100.20 	 1.617
100.40 	 1.617
100.16 	 1.512
99.68 	 1.512
100.27 	 1.512
100.05 	 1.512
100.15 	 1.512
100.05 	 1.512
99.92 	 1.512
102.36 	 1.613
100.10 	 1.613
100.17 	 1.613
100.95 	 1.637
101.69 	 1.637
101.45 	 1.637
100.17 	 1.637
100.17 	 1.637
100.70 	 1.637
101.85 	 1.637
99.76 	 1.633
100.30 	 1.633
99.92 	 1.633
99.58 	 1.633
99.16 	 1.633
100.92 	 1.633
100.01 	 1.633
99.79 	 1.633
0.00 	 1.488
0.00 	 1.488
0.00 	 1.488
0.00 	 1.488
0.00 	 1.488
0.00 	 1.488
0.00 	 1.488
0.00 	 1.488
0.00 	 1.488
0.00 	 1.488
0.00 	 1.488
0.00 	 1.488
0.00 	 1.496
0.00 	 1.496
2.08 	 1.559
0.00 	 1.559
0.00 	 1.559
0.00 	 1.559
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
0.00 	 1.531
1.81 	 1.754
0.00 	 1.754
0.00 	 1.754
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.871
0.00 	 1.871
2.04 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
4.03 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.867
0.00 	 1.867
2.12 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.867
4.26 	 1.867
0.00 	 1.867
0.00 	 1.867
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.871
0.00 	 1.867
0.00 	 1.867
2.12 	 1.867
100.52 	 1.996
100.55 	 1.996
101.05 	 1.996
100.42 	 1.996
101.05 	 1.996
100.55 	 1.996
100.55 	 1.996
100.38 	 1.996
99.68 	 1.996
100.67 	 1.996
100.55 	 1.996
100.30 	 1.996
100.17 	 1.996
100.55 	 1.996
100.48 	 123.5
100.00 	 40.86
99.80 	 7.719
100.55 	 110
100.07 	 44.5
100.57 	 51.74
100.95 	 12.4
100.40 	 114.3
100.82 	 6.391
100.27 	 96.24
100.80 	 93.23
100.40 	 99.09
101.73 	 106.4
99.92 	 23.17
100.52 	 88.4
