CPU(%)	MEM(MB)
51.91 	 5.23
100.54 	 2.09
99.43 	 2.09
99.80 	 2.086
100.42 	 2.086
100.07 	 2.086
237.36 	 5.168
239.44 	 5.262
239.41 	 4.027
100.05 	 2.086
100.69 	 2.086
100.17 	 2.086
100.07 	 2.086
99.80 	 2.086
239.37 	 2.32
239.67 	 4.059
237.32 	 2.434
239.28 	 4.406
100.42 	 2.086
99.46 	 2.086
100.57 	 2.086
100.52 	 2.086
99.92 	 2.086
238.51 	 4.121
241.17 	 2.441
159.19 	 2.086
100.44 	 2.086
99.80 	 2.086
99.77 	 2.086
101.85 	 2.086
191.13 	 4.496
140.74 	 4.055
139.21 	 4.289
88.67 	 1.953
0.00 	 1.953
0.00 	 1.953
0.00 	 1.953
0.00 	 1.953
59.87 	 3.414
107.02 	 1.957
139.22 	 5.273
139.95 	 5.055
51.79 	 1.953
0.00 	 1.953
0.00 	 1.953
0.00 	 1.953
0.00 	 1.953
98.14 	 6.492
139.93 	 2.344
85.27 	 1.957
1.69 	 1.953
0.00 	 1.953
0.00 	 1.953
0.00 	 1.953
0.00 	 1.953
140.17 	 2.855
139.58 	 3.516
140.46 	 3.797
25.45 	 1.953
0.00 	 1.953
0.00 	 1.953
0.00 	 1.953
0.00 	 1.953
124.51 	 3.906
97.88 	 4.332
138.44 	 3.16
139.52 	 2.898
36.26 	 1.953
0.00 	 1.953
0.00 	 1.953
0.00 	 1.953
0.00 	 1.953
113.56 	 4.328
137.53 	 2.93
81.25 	 5.484
0.00 	 1.953
0.00 	 1.953
0.00 	 1.953
0.00 	 1.953
0.00 	 1.953
139.29 	 4.363
139.82 	 2.387
138.20 	 4.57
66.95 	 1.953
0.00 	 1.953
0.00 	 1.953
0.00 	 1.953
0.00 	 1.953
80.61 	 4.082
111.10 	 6.543
140.33 	 2.289
139.49 	 4.621
74.88 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
73.51 	 2.852
139.56 	 2.988
122.54 	 3.414
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
137.78 	 5.25
131.37 	 3.879
140.03 	 4.758
26.27 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
122.75 	 5.176
139.86 	 3.68
139.55 	 4.488
138.95 	 5.398
23.20 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
126.48 	 3.883
133.86 	 3.52
106.85 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
44.02 	 5.641
139.27 	 3.773
140.29 	 4.207
136.26 	 2.203
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
11.93 	 5.27
139.43 	 5.176
138.83 	 3.828
138.67 	 3.258
134.60 	 2.172
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
12.95 	 2.961
136.00 	 2.824
125.62 	 2.031
48.74 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
98.85 	 2.723
138.23 	 4.719
139.45 	 3.992
109.24 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
140.68 	 3.672
97.23 	 2.031
138.98 	 2.902
140.62 	 2.652
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
139.11 	 2.473
139.70 	 5.777
74.79 	 2.035
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
0.00 	 2.027
138.94 	 5.34
138.70 	 5.152
139.33 	 4.566
34.19 	 2.047
0.00 	 2.047
0.00 	 2.047
0.00 	 2.047
0.00 	 2.047
115.30 	 4.25
97.58 	 2.453
139.10 	 2.273
138.01 	 2.82
31.06 	 2.047
0.00 	 2.047
0.00 	 2.047
0.00 	 2.047
0.00 	 2.047
119.57 	 3.039
138.29 	 4.449
81.92 	 3.445
0.00 	 2.047
0.00 	 2.047
0.00 	 2.047
0.00 	 2.047
0.00 	 2.047
134.51 	 3.516
138.74 	 3.395
139.03 	 5.496
56.43 	 2.047
0.00 	 2.047
0.00 	 2.047
0.00 	 2.047
0.00 	 2.047
94.47 	 5.805
123.23 	 4.32
139.96 	 4.859
139.68 	 4.664
0.00 	 2.047
0.00 	 2.047
0.00 	 2.047
0.00 	 2.047
0.00 	 2.047
139.53 	 4.969
139.20 	 4.648
122.24 	 4.117
76.95 	 2.199
100.07 	 2.199
99.65 	 2.199
99.55 	 2.199
99.55 	 2.199
239.02 	 4.793
241.06 	 4.316
239.42 	 6.172
101.43 	 2.945
101.45 	 2.945
100.17 	 2.945
100.29 	 2.945
100.72 	 2.949
240.28 	 5.871
238.60 	 6.082
240.14 	 134.8
239.16 	 55.93
100.55 	 6.926
99.98 	 51.68
100.82 	 54.31
100.20 	 37.82
100.42 	 81.88
240.33 	 92.54
241.76 	 104.8
192.32 	 55.54
100.05 	 98.2
100.78 	 65.05
100.69 	 26.18
100.07 	 129.3
160.17 	 63.68
