Script started on 2021-04-07 06:12:37-03:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="103" LINES="54"]
CPU(%)	MEM(MB)
0,00 	 26,13
0,00 	 26,13
1,18 	 27,02
1,18 	 27,02
1,19 	 28,81
1,19 	 28,81
0,04 	 28,81
0,04 	 28,81
0,04 	 28,81
0,04 	 28,81
0,16 	 28,38
0,16 	 28,38
0,02 	 28,38
0,02 	 28,38
0,02 	 28,38
0,02 	 28,38
0,02 	 28,38
0,02 	 28,38
0,01 	 28,38
0,01 	 28,38
5,67 	 29,08
5,67 	 29,08
0,02 	 29,08
0,02 	 29,08
0,01 	 29,08
0,01 	 29,08
0,02 	 29,08
0,02 	 29,08
0,02 	 29,08
0,02 	 29,08
0,01 	 29,08
0,01 	 29,08
0,02 	 29,08
0,02 	 29,08
0,02 	 29,08
0,02 	 29,08
0,01 	 29,08
0,01 	 29,08
0,02 	 29,08

Script done on 2021-04-07 06:12:57-03:00 [COMMAND_EXIT_CODE="0"]
