Script started on 2021-04-07 06:13:17-03:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="103" LINES="54"]
CPU(%)	MEM(MB)
0,01 	 427,4
0,01 	 427,4
0,20 	 427,4
0,20 	 427,4
0,46 	 427,4
0,46 	 427,4
0,44 	 427,4
0,44 	 427,4
0,64 	 427,6
0,64 	 427,6
1,78 	 427,4
1,78 	 427,4
0,42 	 427,4
0,42 	 427,4
0,44 	 427,4
0,44 	 427,4
0,44 	 427,4
0,44 	 427,4
0,46 	 427,4
0,46 	 427,4
1,83 	 427,4
1,83 	 427,4
0,43 	 427,4
0,43 	 427,4
0,44 	 427,4
0,44 	 427,4
0,45 	 427,4
0,45 	 427,4
0,66 	 427,4
0,66 	 427,4
6,28 	 427,5
6,28 	 427,5
0,45 	 427,5
0,45 	 427,5
0,44 	 427,5
0,44 	 427,5
0,44 	 427,5
0,44 	 427,5
0,45 	 427,5

Script done on 2021-04-07 06:13:37-03:00 [COMMAND_EXIT_CODE="0"]
