Script started on 2021-04-03 19:52:15-03:00 [TERM="xterm-256color" TTY="/dev/pts/1" COLUMNS="205" LINES="20"]
CPU(%)	MEM(MB)
4,09 	 11,82
4,09 	 11,82
0,05 	 11,82
0,05 	 11,82
0,27 	 11,82
0,27 	 11,82
0,03 	 11,82
0,03 	 11,82
0,03 	 11,82
0,03 	 11,82
0,22 	 11,82
0,22 	 11,82
0,03 	 11,82
0,03 	 11,82
0,02 	 11,82
0,02 	 11,82
0,25 	 11,82
0,25 	 11,82
0,06 	 11,82
0,06 	 11,82
180,31 	 76,19
180,31 	 76,19
202,16 	 130,3
202,16 	 130,3
201,00 	 136,2
201,00 	 136,2
202,30 	 22,03
202,30 	 22,03
201,17 	 108,2
201,17 	 108,2
202,04 	 13,8
202,04 	 13,8
202,09 	 34,08
202,09 	 34,08
201,11 	 108,2
201,11 	 108,2
202,31 	 96,24
202,31 	 96,24
201,81 	 72,12
201,81 	 72,12
202,40 	 24,07
202,40 	 24,07
201,51 	 134,3
201,51 	 134,3
202,06 	 132,2
202,06 	 132,2
200,88 	 126,2
200,88 	 126,2
202,08 	 126,3
202,08 	 126,3
202,60 	 22,08
202,60 	 22,08
201,34 	 18,09
201,34 	 18,09
201,55 	 44,05
201,55 	 44,05
201,00 	 30,11
201,00 	 30,11
202,65 	 134,2
202,65 	 134,2
201,60 	 114,2
201,60 	 114,2
201,56 	 94,14
201,56 	 94,14
202,45 	 64,08
202,45 	 64,08
200,51 	 16,03
200,51 	 16,03
202,08 	 94,23
202,08 	 94,23
200,83 	 126,3
200,83 	 126,3
202,07 	 140,4
202,07 	 140,4
201,82 	 122,2
201,82 	 122,2
201,13 	 14,02
201,13 	 14,02
202,62 	 48,09
202,62 	 48,09
200,46 	 26,03
200,46 	 26,03
202,10 	 96,2
202,10 	 96,2
202,09 	 22,01
202,09 	 22,01
200,77 	 104,2
200,77 	 104,2
200,97 	 138,3
200,97 	 138,3
199,84 	 88,18
199,84 	 88,18
202,35 	 19,99
202,35 	 19,99
202,08 	 62,1
202,08 	 62,1
200,90 	 140,3
