Script started on 2021-04-03 19:39:49-03:00 [TERM="xterm-256color" TTY="/dev/pts/1" COLUMNS="205" LINES="20"]
CPU(%)	MEM(MB)
0,00 	 9,84
0,00 	 9,84
0,23 	 9,84
0,23 	 9,84
0,19 	 9,84
0,19 	 9,84
0,17 	 9,844
0,17 	 9,844
0,09 	 9,84
0,09 	 9,84
0,15 	 9,84
0,15 	 9,84
0,22 	 9,84
0,22 	 9,84
0,18 	 9,844
0,18 	 9,844
0,05 	 9,84
0,05 	 9,84
0,07 	 9,844
0,07 	 9,844
185,71 	 77,96
185,71 	 77,96
200,07 	 84,05
200,07 	 84,05
202,63 	 29,96
202,63 	 29,96
200,56 	 124,3
200,56 	 124,3
201,61 	 129,6
201,61 	 129,6
201,31 	 19,57
201,31 	 19,57
203,94 	 73,56
203,94 	 73,56
201,56 	 46,94
201,56 	 46,94
201,83 	 62,78
201,83 	 62,78
203,36 	 52,65
203,36 	 52,65
201,42 	 50,8
201,42 	 50,8
201,59 	 33,68
201,59 	 33,68
202,53 	 14,68
202,53 	 14,68
201,31 	 11,18
201,31 	 11,18
199,81 	 17,68
199,81 	 17,68
202,12 	 18,78
202,12 	 18,78
201,30 	 100,6
201,30 	 100,6
200,54 	 19,39
200,54 	 19,39
200,06 	 103
200,06 	 103
202,89 	 121,6
202,89 	 121,6
198,98 	 61,56
198,98 	 61,56
202,90 	 97,52
202,90 	 97,52
200,31 	 100,8
200,31 	 100,8
202,12 	 71,07
202,12 	 71,07
200,06 	 91,03
200,06 	 91,03
200,86 	 123,1
200,86 	 123,1
201,07 	 138,2
201,07 	 138,2
201,33 	 62,66
201,33 	 62,66
201,83 	 138,4
201,83 	 138,4
199,62 	 138,4
199,62 	 138,4
202,84 	 71,68
202,84 	 71,68
202,11 	 95,56
202,11 	 95,56
200,45 	 128,9
200,45 	 128,9
199,90 	 85,01
199,90 	 85,01
201,17 	 25,64
201,17 	 25,64
200,80 	 89,76
200,80 	 89,76
201,17 	 33,78
201,17 	 33,78
202,75 	 37,43
202,75 	 37,43
199,89 	 131,9
199,89 	 131,9
200,94 	 84,93
200,94 	 84,93
203,35 	 26,05
203,35 	 26,05
200,04 	 21,25
200,04 	 21,25
200,41 	 58,13
200,41 	 58,13
201,55 	 112,8
201,55 	 112,8
201,82 	 58,05
201,82 	 58,05
200,85 	 59,3
200,85 	 59,3
202,34 	 93,68
202,34 	 93,68
200,11 	 77,93
200,11 	 77,93
199,55 	 104,8
199,55 	 104,8
202,79 	 66,65
202,79 	 66,65
199,42 	 135
199,42 	 135
200,71 	 50,7
200,71 	 50,7
199,78 	 104,6
199,78 	 104,6
201,36 	 53,93
201,36 	 53,93
201,32 	 36,7
201,32 	 36,7
200,35 	 50,56
200,35 	 50,56
203,16 	 90,19
203,16 	 90,19
199,52 	 134,6
199,52 	 134,6
201,98 	 100,6
201,98 	 100,6
201,37 	 48,84
201,37 	 48,84
200,80 	 100,2
200,80 	 100,2
200,54 	 52,62
200,54 	 52,62
200,84 	 132,1
200,84 	 132,1
202,93 	 112,1
202,93 	 112,1
202,10 	 111,1
202,10 	 111,1
202,64 	 39,76
202,64 	 39,76
199,53 	 13,38
199,53 	 13,38
201,38 	 49,27
201,38 	 49,27
200,51 	 132,3
200,51 	 132,3
200,00 	 47,25
200,00 	 47,25
200,91 	 109,1
200,91 	 109,1
202,14 	 94,61
202,14 	 94,61
199,85 	 106,6
199,85 	 106,6
203,08 	 49,73
203,08 	 49,73
201,54 	 54,64
201,54 	 54,64
201,34 	 64,22
201,34 	 64,22
200,76 	 96,59
200,76 	 96,59
199,82 	 43,02
199,82 	 43,02
200,20 	 93,77
200,20 	 93,77
201,28 	 80,02
201,28 	 80,02
198,72 	 32,39
198,72 	 32,39
200,19 	 94,57
200,19 	 94,57
199,92 	 68,32
199,92 	 68,32
201,67 	 102
201,67 	 102
200,76 	 17,02
200,76 	 17,02
200,68 	 90,15
200,68 	 90,15
201,35 	 42,5
201,35 	 42,5
201,16 	 18,68
201,16 	 18,68
200,82 	 13,06
200,82 	 13,06
