Script started on 2021-04-07 06:12:57-03:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="103" LINES="54"]
CPU(%)	MEM(MB)
0,01 	 189,6
0,01 	 189,6
1,14 	 189,7
1,14 	 189,7
1,49 	 189,8
1,49 	 189,8
1,41 	 189,6
1,41 	 189,6
0,87 	 189,6
0,87 	 189,6
1,89 	 189,7
1,89 	 189,7
1,61 	 189,8
1,61 	 189,8
1,29 	 189,9
1,29 	 189,9
1,41 	 189,9
1,41 	 189,9
0,86 	 189,9
0,86 	 189,9
1,47 	 189,9
1,47 	 189,9
1,37 	 189,9
1,37 	 189,9
1,16 	 189,9
1,16 	 189,9
1,36 	 189,9
1,36 	 189,9
0,62 	 189,9
0,62 	 189,9
1,30 	 189,9
1,30 	 189,9
0,71 	 189,9
0,71 	 189,9
1,03 	 189,9
1,03 	 189,9
0,70 	 189,9
0,70 	 189,9
0,45 	 189,9

Script done on 2021-04-07 06:13:17-03:00 [COMMAND_EXIT_CODE="0"]
